iso3,year,country_exists,depth_score,agreement_type,reciprocal,fta_or_deeper,nonreciprocal_only,n_northern_reporting,n_northern_with_agreement,trade_total_northern,gdp_total_northern,trade_reciprocal_northern,gdp_reciprocal_northern,n_reciprocal_partners,n_partners_trade_available,reciprocal_trade_share,reciprocal_gdp_share
AGO,1950,True,0.0,0_none,0.0,0.0,0.0,28.0,0.0,109650.0,439149675.856,0.0,0.0,0.0,14.0,0.0,0.0
AGO,1951,True,0.0,0_none,0.0,0.0,0.0,28.0,0.0,152450.0,508704606.91200006,0.0,0.0,0.0,15.0,0.0,0.0
AGO,1952,True,0.0,0_none,0.0,0.0,0.0,28.0,0.0,154550.0,564177641.312,0.0,0.0,0.0,19.0,0.0,0.0
AGO,1953,True,0.0,0_none,0.0,0.0,0.0,28.0,0.0,179100.0,594802213.104,0.0,0.0,0.0,18.0,0.0,0.0
AGO,1954,True,0.0,0_none,0.0,0.0,0.0,28.0,0.0,183750.0,608996152.944,0.0,0.0,0.0,17.0,0.0,0.0
AGO,1955,True,0.0,0_none,0.0,0.0,0.0,28.0,0.0,171200.0,707212135.52,0.0,0.0,0.0,20.0,0.0,0.0
AGO,1956,True,0.0,0_none,0.0,0.0,0.0,28.0,0.0,192800.0,759962809.184,0.0,0.0,0.0,19.0,0.0,0.0
AGO,1957,True,0.0,0_none,0.0,0.0,0.0,28.0,0.0,206600.0,810041068.576,0.0,0.0,0.0,20.0,0.0,0.0
AGO,1958,True,0.0,0_none,0.0,0.0,0.0,28.0,0.0,211100.0,830159736.224,0.0,0.0,0.0,20.0,0.0,0.0
AGO,1959,True,0.0,0_none,0.0,0.0,0.0,28.0,0.0,209605.0,885219863.3280001,0.0,0.0,0.0,19.0,0.0,0.0
AGO,1960,True,0.0,0_none,0.0,0.0,0.0,29.0,0.0,211250.0,1004764122.1600001,0.0,0.0,0.0,19.0,0.0,0.0
AGO,1961,True,0.0,0_none,0.0,0.0,0.0,29.0,0.0,202050.0,1068562561.6,0.0,0.0,0.0,19.0,0.0,0.0
AGO,1962,True,0.0,0_none,0.0,0.0,0.0,29.0,0.0,233250.0,1154279277.792,0.0,0.0,0.0,19.0,0.0,0.0
AGO,1963,True,0.0,0_none,0.0,0.0,0.0,29.0,0.0,258350.0,1241588382.56,0.0,0.0,0.0,20.0,0.0,0.0
AGO,1964,True,0.0,0_none,0.0,0.0,0.0,30.0,0.0,337500.0,1356808025.408,0.0,0.0,0.0,19.0,0.0,0.0
AGO,1965,True,0.0,0_none,0.0,0.0,0.0,31.0,0.0,351950.0,1474823991.328,0.0,0.0,0.0,19.0,0.0,0.0
AGO,1966,True,0.0,0_none,0.0,0.0,0.0,31.0,0.0,385900.0,1613314560.144,0.0,0.0,0.0,21.0,0.0,0.0
AGO,1967,True,0.0,0_none,0.0,0.0,0.0,31.0,0.0,460905.0,1724081100.72,0.0,0.0,0.0,20.0,0.0,0.0
AGO,1968,True,0.0,0_none,0.0,0.0,0.0,31.0,0.0,512260.0,1867705725.52,0.0,0.0,0.0,21.0,0.0,0.0
